date,shift,bottles_produced,defect_count,downtime_minutes,plant_id
2025-02-28,Shift C,3115,12,28,
2025-03-01,Shift A,3665,23,96,
2025-03-02,Shift C,2931,40,28,
2025-03-03,Shift A,2036,42,65,
2025-03-04,Shift C,2235,15,62,
2025-03-05,Shift C,5290,12,80,
2025-03-06,Shift B,3516,18,105,
2025-03-07,Shift B,2112,40,69,
2025-03-08,Shift A,5326,15,64,
2025-03-09,Shift A,2160,38,3,
2025-03-10,Shift C,4670,18,85,
2025-03-11,Shift A,3446,18,92,
2025-03-12,Shift C,3874,49,18,
2025-03-13,Shift C,3038,49,29,
2025-03-14,Shift C,4663,50,118,
2025-03-15,Shift C,2717,32,61,
2025-03-16,Shift A,2980,26,52,
2025-03-17,Shift C,4019,21,76,
2025-03-18,Shift B,2836,41,77,
2025-03-19,Shift A,4512,51,93,
2025-03-20,Shift B,4374,53,65,
2025-03-21,Shift B,2212,26,75,
2025-03-22,Shift A,3387,55,39,
2025-03-23,Shift B,2686,29,115,
2025-03-24,Shift A,4293,35,111,
2025-03-25,Shift B,5238,56,103,
2025-03-26,Shift C,3614,43,40,
2025-03-27,Shift A,4059,46,64,
2025-03-28,Shift B,2477,41,36,
2025-03-29,Shift C,4023,28,103,
2025-03-30,Shift A,4305,48,11,
2025-03-31,Shift C,2888,42,10,
2025-04-01,Shift C,3748,43,60,
2025-04-02,Shift A,5494,37,100,
2025-04-03,Shift B,4096,33,66,
2025-04-04,Shift A,3332,44,70,
2025-04-05,Shift C,2976,43,13,
2025-04-06,Shift C,2360,55,60,
2025-04-07,Shift C,3323,65,106,
2025-04-08,Shift A,3262,66,29,
2025-04-09,Shift B,2405,59,115,
2025-04-10,Shift B,3555,64,37,
2025-04-11,Shift C,4986,42,31,
2025-04-12,Shift A,4003,57,35,
2025-04-13,Shift B,3070,53,94,
2025-04-14,Shift B,2113,50,64,
2025-04-15,Shift B,2299,53,37,
2025-04-16,Shift A,3125,67,78,
2025-04-17,Shift B,2086,54,118,
2025-04-18,Shift C,3216,72,60,
2025-04-19,Shift A,3217,49,99,
2025-04-20,Shift B,4709,69,10,
2025-04-21,Shift C,4059,54,29,
2025-04-22,Shift C,3373,66,52,
2025-04-23,Shift C,3679,61,57,
2025-04-24,Shift C,5457,71,108,
2025-04-25,Shift C,4101,76,26,
2025-04-26,Shift A,3032,49,70,
2025-04-27,Shift B,4973,71,76,
2025-04-28,Shift C,4603,71,57,
2025-04-29,Shift A,3947,51,48,
2025-04-30,Shift C,2328,60,24,
2025-05-01,Shift C,2839,72,23,
2025-05-02,Shift B,2841,59,35,
2025-05-03,Shift B,2945,84,111,
2025-05-04,Shift C,2297,63,3,
2025-05-05,Shift C,2996,73,15,
2025-05-06,Shift B,3058,82,31,
2025-05-07,Shift C,5221,75,0,
2025-05-08,Shift B,4346,76,116,
2025-05-09,Shift B,3971,59,47,
2025-05-10,Shift C,5174,90,81,
2025-05-11,Shift B,2450,60,87,
2025-05-12,Shift A,4977,81,119,
2025-05-13,Shift B,3891,89,38,
2025-05-14,Shift B,3639,93,58,
2025-05-15,Shift B,3729,93,75,
2025-05-16,Shift A,4546,91,54,
2025-05-17,Shift B,2999,85,94,
2025-05-18,Shift B,2542,94,15,
2025-05-19,Shift C,5299,79,38,
2025-05-20,Shift B,5195,89,57,
2025-05-21,Shift C,5414,78,19,
2025-05-22,Shift C,4974,70,96,
2025-05-23,Shift C,4298,100,60,
2025-05-24,Shift C,3417,76,88,
2025-05-25,Shift B,5250,79,102,
2025-05-26,Shift B,2639,93,103,
2025-05-27,Shift B,2628,77,59,
2025-05-28,Shift C,4240,77,5,
2025-05-29,Shift B,3415,81,95,
2025-05-30,Shift B,4231,89,58,
2025-05-31,Shift B,5485,78,103,
2025-06-01,Shift A,4927,101,95,
2025-06-02,Shift B,2355,86,18,
2025-06-03,Shift C,3674,90,69,
2025-06-04,Shift B,4000,92,75,
2025-06-05,Shift A,2580,91,70,
2025-06-06,Shift B,4036,94,76,
2025-06-07,Shift B,2674,109,73,
