date,shift,bottles_produced,defect_count,downtime_minutes,plant_id
2025-02-28,Shift 1,3652,22,36,
2025-03-01,Shift 2,4317,39,94,
2025-03-02,Shift 1,4404,27,6,
2025-03-03,Shift 3,2668,25,119,
2025-03-04,Shift 1,2808,16,76,
2025-03-05,Shift 2,4596,39,30,
2025-03-06,Shift 1,5372,42,37,
2025-03-07,Shift 1,2493,23,98,
2025-03-08,Shift 3,2895,31,47,
2025-03-09,Shift 3,3181,21,85,
2025-03-10,Shift 2,4858,26,115,
2025-03-11,Shift 1,3033,41,8,
2025-03-12,Shift 1,3337,42,27,
2025-03-13,Shift 1,4681,27,95,
2025-03-14,Shift 2,4524,20,98,
2025-03-15,Shift 2,3490,18,116,
2025-03-16,Shift 1,3224,36,82,
2025-03-17,Shift 2,4012,50,36,
2025-03-18,Shift 3,3540,20,17,
2025-03-19,Shift 2,3459,49,104,
2025-03-20,Shift 2,4014,40,13,
2025-03-21,Shift 3,2856,34,108,
2025-03-22,Shift 2,3809,49,37,
2025-03-23,Shift 3,2395,31,97,
2025-03-24,Shift 3,4093,44,104,
2025-03-25,Shift 3,3332,28,51,
2025-03-26,Shift 3,3279,35,67,
2025-03-27,Shift 1,4837,38,18,
2025-03-28,Shift 3,3466,34,68,
2025-03-29,Shift 1,2445,38,2,
2025-03-30,Shift 1,3321,60,75,
2025-03-31,Shift 2,2865,44,94,
2025-04-01,Shift 3,4459,31,29,
2025-04-02,Shift 1,3886,54,25,
2025-04-03,Shift 3,3702,55,78,
2025-04-04,Shift 1,4266,46,27,
2025-04-05,Shift 3,4934,54,45,
2025-04-06,Shift 1,4688,67,67,
2025-04-07,Shift 3,4546,68,71,
2025-04-08,Shift 3,4065,64,58,
2025-04-09,Shift 3,2956,60,13,
2025-04-10,Shift 1,5324,61,72,
2025-04-11,Shift 1,3067,53,91,
2025-04-12,Shift 1,5274,43,41,
2025-04-13,Shift 1,4776,44,111,
2025-04-14,Shift 3,2502,56,115,
2025-04-15,Shift 3,4587,49,106,
2025-04-16,Shift 2,2764,63,25,
2025-04-17,Shift 2,3032,59,89,
2025-04-18,Shift 2,5008,51,119,
2025-04-19,Shift 3,4074,72,53,
2025-04-20,Shift 2,2269,68,30,
2025-04-21,Shift 1,4587,69,34,
2025-04-22,Shift 2,2861,57,67,
2025-04-23,Shift 1,5460,64,101,
2025-04-24,Shift 3,3420,63,76,
2025-04-25,Shift 1,3820,48,75,
2025-04-26,Shift 2,5116,68,66,
2025-04-27,Shift 3,3996,50,54,
2025-04-28,Shift 2,3902,77,83,
2025-04-29,Shift 1,4566,65,81,
2025-04-30,Shift 2,3928,70,78,
2025-05-01,Shift 2,2820,74,78,
2025-05-02,Shift 2,5206,82,85,
2025-05-03,Shift 1,2603,71,69,
2025-05-04,Shift 2,5479,78,88,
2025-05-05,Shift 1,2702,70,91,
2025-05-06,Shift 1,5232,79,41,
2025-05-07,Shift 3,3744,80,70,
2025-05-08,Shift 2,5409,63,20,
2025-05-09,Shift 1,4307,87,67,
2025-05-10,Shift 3,3395,89,9,
2025-05-11,Shift 3,2035,58,23,
2025-05-12,Shift 3,3246,88,26,
2025-05-13,Shift 3,4356,91,60,
2025-05-14,Shift 3,3190,60,57,
2025-05-15,Shift 3,2758,65,112,
2025-05-16,Shift 1,3422,91,3,
2025-05-17,Shift 1,2097,73,68,
2025-05-18,Shift 3,4086,92,11,
2025-05-19,Shift 3,3163,75,108,
2025-05-20,Shift 1,2878,93,12,
2025-05-21,Shift 3,2172,97,89,
2025-05-22,Shift 1,2017,72,92,
2025-05-23,Shift 2,5236,71,84,
2025-05-24,Shift 2,5057,76,53,
2025-05-25,Shift 2,2400,83,7,
2025-05-26,Shift 2,3972,80,24,
2025-05-27,Shift 2,5241,75,70,
2025-05-28,Shift 3,4694,72,72,
2025-05-29,Shift 2,3617,85,82,
2025-05-30,Shift 3,2069,83,91,
2025-05-31,Shift 3,4949,72,74,
2025-06-01,Shift 2,3087,102,69,
2025-06-02,Shift 2,4160,87,73,
2025-06-03,Shift 3,5016,87,60,
2025-06-04,Shift 1,3372,89,87,
2025-06-05,Shift 2,3631,84,119,
2025-06-06,Shift 1,4619,102,22,
2025-06-07,Shift 3,2427,94,26,
