date,shift,bottles_produced,defect_count,downtime_minutes,plant_id
2025-02-28,Shift C,3822,40,6,
2025-03-01,Shift C,2109,15,52,
2025-03-02,Shift A,4000,37,45,
2025-03-03,Shift C,5309,20,62,
2025-03-04,Shift A,2134,36,117,
2025-03-05,Shift C,2105,39,48,
2025-03-06,Shift B,3637,19,1,
2025-03-07,Shift C,3328,29,69,
2025-03-08,Shift A,4701,38,91,
2025-03-09,Shift B,5080,22,26,
2025-03-10,Shift A,2355,18,86,
2025-03-11,Shift A,2833,34,24,
2025-03-12,Shift B,3466,29,8,
2025-03-13,Shift A,3572,37,13,
2025-03-14,Shift C,3243,44,74,
2025-03-15,Shift A,3088,26,40,
2025-03-16,Shift B,5219,26,57,
2025-03-17,Shift C,2693,42,18,
2025-03-18,Shift A,4165,46,28,
2025-03-19,Shift A,4649,35,89,
2025-03-20,Shift B,3413,27,110,
2025-03-21,Shift B,3527,47,69,
2025-03-22,Shift B,2613,25,102,
2025-03-23,Shift A,5104,28,94,
2025-03-24,Shift B,3323,28,108,
2025-03-25,Shift C,3411,39,61,
2025-03-26,Shift B,4558,34,62,
2025-03-27,Shift C,4979,39,52,
2025-03-28,Shift B,4987,53,26,
2025-03-29,Shift B,3379,29,29,
2025-03-30,Shift C,3718,33,101,
2025-03-31,Shift B,2054,47,71,
2025-04-01,Shift B,4557,60,20,
2025-04-02,Shift A,2136,47,0,
2025-04-03,Shift C,4120,40,49,
2025-04-04,Shift A,4372,38,82,
2025-04-05,Shift C,2916,54,57,
2025-04-06,Shift A,3461,61,47,
2025-04-07,Shift C,4524,52,95,
2025-04-08,Shift A,3274,44,110,
2025-04-09,Shift C,3538,69,1,
2025-04-10,Shift C,4588,47,86,
2025-04-11,Shift C,3413,61,87,
2025-04-12,Shift B,4791,59,61,
2025-04-13,Shift A,3249,63,80,
2025-04-14,Shift C,3320,71,28,
2025-04-15,Shift B,3937,50,99,
2025-04-16,Shift A,3966,68,95,
2025-04-17,Shift B,3497,64,81,
2025-04-18,Shift A,3846,45,84,
2025-04-19,Shift B,2098,68,60,
2025-04-20,Shift A,3758,47,76,
2025-04-21,Shift A,3606,45,60,
2025-04-22,Shift B,5203,76,39,
2025-04-23,Shift C,4536,78,4,
2025-04-24,Shift C,3679,70,94,
2025-04-25,Shift A,3193,63,95,
2025-04-26,Shift C,4986,52,14,
2025-04-27,Shift C,4874,79,48,
2025-04-28,Shift B,2122,65,48,
2025-04-29,Shift C,4188,65,3,
2025-04-30,Shift A,3690,56,23,
2025-05-01,Shift A,2128,80,69,
2025-05-02,Shift A,2912,52,111,
2025-05-03,Shift B,2397,56,93,
2025-05-04,Shift A,4088,83,15,
2025-05-05,Shift B,3648,85,23,
2025-05-06,Shift B,5414,57,64,
2025-05-07,Shift C,2144,67,64,
2025-05-08,Shift B,2077,58,57,
2025-05-09,Shift C,4484,67,71,
2025-05-10,Shift A,2132,84,78,
2025-05-11,Shift B,4204,75,109,
2025-05-12,Shift B,3374,77,95,
2025-05-13,Shift A,3603,82,38,
2025-05-14,Shift B,3229,86,17,
2025-05-15,Shift B,4040,80,115,
2025-05-16,Shift B,2132,74,54,
2025-05-17,Shift A,3710,80,21,
2025-05-18,Shift A,5289,96,68,
2025-05-19,Shift A,4580,85,104,
2025-05-20,Shift A,2518,92,57,
2025-05-21,Shift A,4122,78,93,
2025-05-22,Shift B,3880,98,13,
2025-05-23,Shift B,3806,80,68,
2025-05-24,Shift C,3390,78,112,
2025-05-25,Shift C,3012,88,10,
2025-05-26,Shift A,4074,88,48,
2025-05-27,Shift C,4863,102,48,
2025-05-28,Shift C,3875,91,75,
2025-05-29,Shift A,2706,81,33,
2025-05-30,Shift C,3149,93,67,
2025-05-31,Shift B,2261,73,14,
2025-06-01,Shift A,3111,84,45,
2025-06-02,Shift B,3698,98,101,
2025-06-03,Shift C,5461,85,72,
2025-06-04,Shift B,2159,104,5,
2025-06-05,Shift B,5143,88,103,
2025-06-06,Shift B,4619,96,101,
2025-06-07,Shift B,3201,83,91,
