date,shift,bottles_produced,defect_count,downtime_minutes,plant_id
2025-02-28,Shift B,3144,12,36,
2025-03-01,Shift B,4798,36,114,
2025-03-02,Shift C,5352,36,95,
2025-03-03,Shift C,5148,39,80,
2025-03-04,Shift C,3116,17,41,
2025-03-05,Shift A,4778,12,38,
2025-03-06,Shift A,3664,28,2,
2025-03-07,Shift A,5076,46,67,
2025-03-08,Shift C,4763,35,101,
2025-03-09,Shift B,4959,17,14,
2025-03-10,Shift B,2521,15,6,
2025-03-11,Shift B,4374,48,58,
2025-03-12,Shift A,4777,40,106,
2025-03-13,Shift A,2590,30,11,
2025-03-14,Shift A,2212,22,20,
2025-03-15,Shift B,5132,48,119,
2025-03-16,Shift B,4526,30,6,
2025-03-17,Shift A,5210,49,85,
2025-03-18,Shift C,2115,43,99,
2025-03-19,Shift A,2805,51,41,
2025-03-20,Shift B,4645,33,86,
2025-03-21,Shift B,5309,23,15,
2025-03-22,Shift C,4585,55,66,
2025-03-23,Shift A,5053,27,44,
2025-03-24,Shift C,2861,50,95,
2025-03-25,Shift C,2497,41,68,
2025-03-26,Shift B,3319,59,82,
2025-03-27,Shift A,4764,58,103,
2025-03-28,Shift A,4582,40,57,
2025-03-29,Shift B,3686,48,89,
2025-03-30,Shift C,2789,29,81,
2025-03-31,Shift A,5180,61,46,
2025-04-01,Shift B,4564,49,92,
2025-04-02,Shift A,2485,53,50,
2025-04-03,Shift B,3653,63,98,
2025-04-04,Shift B,2310,41,87,
2025-04-05,Shift B,3530,38,30,
2025-04-06,Shift C,5492,64,103,
2025-04-07,Shift B,5133,47,38,
2025-04-08,Shift B,3261,61,20,
2025-04-09,Shift A,4298,57,112,
2025-04-10,Shift A,5194,51,57,
2025-04-11,Shift A,3746,36,109,
2025-04-12,Shift A,2254,69,2,
2025-04-13,Shift B,3161,61,29,
2025-04-14,Shift C,2850,53,98,
2025-04-15,Shift C,3325,59,79,
2025-04-16,Shift B,3133,49,84,
2025-04-17,Shift B,2809,45,59,
2025-04-18,Shift C,2702,43,115,
2025-04-19,Shift B,3404,64,65,
2025-04-20,Shift C,2769,49,114,
2025-04-21,Shift B,2039,51,83,
2025-04-22,Shift C,2897,69,7,
2025-04-23,Shift C,4699,58,12,
2025-04-24,Shift A,2607,56,86,
2025-04-25,Shift A,2421,76,94,
2025-04-26,Shift B,5256,75,80,
2025-04-27,Shift B,3398,75,85,
2025-04-28,Shift A,2844,62,47,
2025-04-29,Shift A,3009,69,0,
2025-04-30,Shift C,4479,52,47,
2025-05-01,Shift B,4923,78,102,
2025-05-02,Shift C,5498,74,106,
2025-05-03,Shift B,4297,59,44,
2025-05-04,Shift A,2962,76,90,
2025-05-05,Shift A,2184,73,79,
2025-05-06,Shift A,3705,71,117,
2025-05-07,Shift C,5150,84,31,
2025-05-08,Shift A,4980,87,7,
2025-05-09,Shift A,3288,72,56,
2025-05-10,Shift C,4212,78,3,
2025-05-11,Shift C,4786,86,71,
2025-05-12,Shift C,5012,88,38,
2025-05-13,Shift A,4580,75,80,
2025-05-14,Shift B,3944,73,31,
2025-05-15,Shift C,5283,70,53,
2025-05-16,Shift C,4207,67,17,
2025-05-17,Shift C,3122,75,37,
2025-05-18,Shift A,3511,90,70,
2025-05-19,Shift B,4367,64,94,
2025-05-20,Shift B,3120,98,117,
2025-05-21,Shift C,2407,90,58,
2025-05-22,Shift C,4415,84,20,
2025-05-23,Shift B,3281,81,99,
2025-05-24,Shift A,2376,79,4,
2025-05-25,Shift A,2786,98,118,
2025-05-26,Shift A,4097,92,4,
2025-05-27,Shift C,3557,86,38,
2025-05-28,Shift A,3904,102,4,
2025-05-29,Shift C,2002,88,60,
2025-05-30,Shift C,5294,93,34,
2025-05-31,Shift B,3425,80,59,
2025-06-01,Shift B,2225,80,30,
2025-06-02,Shift C,4057,81,35,
2025-06-03,Shift B,3986,97,73,
2025-06-04,Shift C,5067,104,77,
2025-06-05,Shift C,5135,86,44,
2025-06-06,Shift A,3611,82,3,
2025-06-07,Shift B,4919,89,50,
