date,shift,bottles_produced,defect_count,downtime_minutes,plant_id
2025-02-28,Shift C,4641,21,83,
2025-03-01,Shift A,3356,8,77,
2025-03-02,Shift B,3545,31,107,
2025-03-03,Shift B,5223,41,29,
2025-03-04,Shift A,5478,29,23,
2025-03-05,Shift C,2286,44,104,
2025-03-06,Shift A,2587,34,65,
2025-03-07,Shift A,4766,43,16,
2025-03-08,Shift B,2345,25,20,
2025-03-09,Shift B,5473,41,10,
2025-03-10,Shift A,2501,30,16,
2025-03-11,Shift B,5169,41,45,
2025-03-12,Shift B,5095,33,102,
2025-03-13,Shift A,4115,24,92,
2025-03-14,Shift A,3592,36,49,
2025-03-15,Shift C,3576,51,99,
2025-03-16,Shift A,3470,20,45,
2025-03-17,Shift C,3454,21,43,
2025-03-18,Shift A,5296,27,99,
2025-03-19,Shift A,3970,53,80,
2025-03-20,Shift C,3806,44,50,
2025-03-21,Shift C,3021,40,69,
2025-03-22,Shift C,5237,29,54,
2025-03-23,Shift A,3133,41,18,
2025-03-24,Shift B,3614,27,78,
2025-03-25,Shift B,5468,32,90,
2025-03-26,Shift A,3832,41,84,
2025-03-27,Shift C,5493,46,80,
2025-03-28,Shift A,4863,29,42,
2025-03-29,Shift C,5233,51,72,
2025-03-30,Shift B,2930,39,119,
2025-03-31,Shift B,2777,35,4,
2025-04-01,Shift B,5347,61,103,
2025-04-02,Shift C,4190,49,114,
2025-04-03,Shift C,3620,57,34,
2025-04-04,Shift B,4234,45,84,
2025-04-05,Shift B,2577,36,76,
2025-04-06,Shift B,3092,45,55,
2025-04-07,Shift C,5346,35,90,
2025-04-08,Shift B,4312,47,46,
2025-04-09,Shift A,2732,55,10,
2025-04-10,Shift C,4134,60,52,
2025-04-11,Shift B,3132,37,46,
2025-04-12,Shift A,3626,49,21,
2025-04-13,Shift C,2602,47,61,
2025-04-14,Shift C,2589,67,31,
2025-04-15,Shift A,4543,55,117,
2025-04-16,Shift B,3547,57,84,
2025-04-17,Shift C,3852,60,77,
2025-04-18,Shift C,5161,71,49,
2025-04-19,Shift B,4265,49,118,
2025-04-20,Shift B,5271,59,77,
2025-04-21,Shift A,3103,58,33,
2025-04-22,Shift B,4439,53,85,
2025-04-23,Shift A,5134,66,108,
2025-04-24,Shift A,5388,78,90,
2025-04-25,Shift A,3336,65,102,
2025-04-26,Shift B,2307,76,72,
2025-04-27,Shift A,5456,69,118,
2025-04-28,Shift A,4511,65,101,
2025-04-29,Shift B,4303,81,95,
2025-04-30,Shift B,2257,77,116,
2025-05-01,Shift C,2774,60,59,
2025-05-02,Shift A,2519,79,49,
2025-05-03,Shift C,3257,81,53,
2025-05-04,Shift A,3350,81,42,
2025-05-05,Shift C,2561,54,18,
2025-05-06,Shift C,3280,66,56,
2025-05-07,Shift C,2221,75,74,
2025-05-08,Shift C,3356,61,20,
2025-05-09,Shift A,3295,73,109,
2025-05-10,Shift B,4145,83,25,
2025-05-11,Shift A,2777,88,78,
2025-05-12,Shift B,2828,65,38,
2025-05-13,Shift C,4069,74,14,
2025-05-14,Shift A,4807,82,33,
2025-05-15,Shift B,2073,81,78,
2025-05-16,Shift C,5431,89,8,
2025-05-17,Shift C,3079,69,110,
2025-05-18,Shift A,2500,80,28,
2025-05-19,Shift B,4310,69,25,
2025-05-20,Shift A,4648,95,91,
2025-05-21,Shift B,5408,79,48,
2025-05-22,Shift C,2070,76,106,
2025-05-23,Shift A,4258,92,78,
2025-05-24,Shift B,5479,72,69,
2025-05-25,Shift C,2681,82,102,
2025-05-26,Shift B,2249,96,111,
2025-05-27,Shift B,2476,101,53,
2025-05-28,Shift A,4067,74,31,
2025-05-29,Shift C,3674,85,72,
2025-05-30,Shift A,4610,92,77,
2025-05-31,Shift B,4225,73,81,
2025-06-01,Shift A,3929,87,73,
2025-06-02,Shift C,3020,106,14,
2025-06-03,Shift C,3047,88,4,
2025-06-04,Shift A,2878,80,57,
2025-06-05,Shift A,4112,100,46,
2025-06-06,Shift C,2858,80,87,
2025-06-07,Shift A,4824,110,16,
